InchiKey,smiles,new_logBB,new_BBclass,canon_smiles
AABLHGPVOULICI-UHFFFAOYSA-N,CN1CCC24C3Oc5c(O)ccc(CC1C2(O)CCC3O)c45,,1,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5
AAOVKJBEBIDNHE-UHFFFAOYSA-N,c1c(Cl)ccc(c12)N(C)C(=O)CN=C2c3ccccc3,0.330807143,1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
AAQOQKQBGPPFNS-UHFFFAOYSA-N,CC[N+](C)(C)CC=1C=CC=CC=1[Br],,0,CC[N+](C)(C)Cc1ccccc1Br
AAXVEMMRQDVLJB-UHFFFAOYSA-N,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,,1,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F
ABQYZRZVRIPTPI-UHFFFAOYSA-M,COn1cc(C(=O)[O-])c(=O)c2cc3c(cc21)OCO3,-0.92049998,1,COn1cc(C(=O)[O-])c(=O)c2cc3c(cc21)OCO3
ABQYZRZVRIPTPI-UHFFFAOYSA-N,CON1C=C(C(c2c1cc3c(OCO3)c2)=O)C(O)=O,-0.920450005,1,COn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
ABWPQNZPAOAQSG-UHFFFAOYSA-N,CC1=C(C(=O)N2CC(CCC2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,-0.67000001,1,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2
ABWPQNZPAOAQSG-UHFFFAOYSA-O,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2,-0.67000002,1,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2
ACBLZFZDCOGNHD-UHFFFAOYSA-N,CCCC(CCC)(CCC)C(N)=O,,1,CCCC(CCC)(CCC)C(N)=O
ACGDKVXYNVEAGU-UHFFFAOYSA-N,NC(N)=NCCN1CCCCCCC1,,0,NC(N)=NCCN1CCCCCCC1
ACSIXWWBWUQEHA-UHFFFAOYSA-N,O[P](O)(=O)C([Cl])([Cl])[P](O)(O)=O,,0,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O
ACTOXUHEUCPTEW-UHFFFAOYSA-N,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(C(C)O2)N(C)C)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(C1O)N(C)C,,0,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O
ACWBQPMHZXGDFX-UHFFFAOYSA-N,CCCCC(=O)N(C/C1=C/C=C(C=C1)C=2C=CC=CC=2C=3NN=NN=3)[C@]([H])(C(O)=O)C(C)(C)[H],,1,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)O)C(C)C
ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc(c1)c(OC)cc(c12)CC(C2=O)CC3CCN(CC3)Cc4ccccc4,0.82333333,1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
ADEBPBSSDYVVLD-UHFFFAOYSA-O,COc1cc2c(cc1OC)C(=O)C(CC1CC[NH+](Cc3ccccc3)CC1)C2,0.88999999,1,COc1cc2c(cc1OC)C(=O)C(CC1CC[NH+](Cc3ccccc3)CC1)C2
ADIMAYPTOBDMTL-UHFFFAOYSA-N,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3ccccc3,0.590833335,1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
ADRHYFBXMFKHDO-UHFFFAOYSA-N,Cc1cc(nnc1NCCN1CCOCC1)c1ccc(cc1)O,,1,Cc1cc(-c2ccc(O)cc2)nnc1NCCN1CCOCC1
ADXGNEYLLLSOAR-UHFFFAOYSA-N,Cc5nc(C)c4CCC(=O)N(Cc1ccc(cc1)c2ccccc2c3nnn[nH]3)c4n5,,1,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2
AEJOEPSMZCEYJN-UHFFFAOYSA-N,c1(ccccc1)[C@H](CN1CCCC1)N(C(=O)Cc1ccc(c(c1)Cl)Cl)C,,1,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1
AELCINSCMGFISI-UHFFFAOYSA-N,NC1CC1c2ccccc2,,1,NC1CC1c1ccccc1
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(ccn1)C(N)=S,,1,CCc1cc(C(N)=S)ccn1
AEOOLRRTECSMIN-UHFFFAOYSA-N,CNC2CCN3c1ccccc1CCc4cccc2c34,,1,CNC1CCN2c3ccccc3CCc3cccc1c32
AEQDJSLRWYMAQI-UHFFFAOYSA-N,COc1c(OC)ccc(c12)C[C@H]3c4c(CCN3C2)cc(OC)c(c4)OC,-0.07,1,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2
AERLHOTUXIJQFV-UHFFFAOYSA-N,O=C4C3C1C=CC(C2C=CC12)C3C(=O)N4CCCCN5CCN(CC5)c6ncccn6,,1,O=C1C2C3C=CC(C4C=CC43)C2C(=O)N1CCCCN1CCN(c2ncccn2)CC1
AFABGHUZZDYHJO-UHFFFAOYSA-N,CC(C)CCC,0.974956725,1,CCCC(C)C
AFBYHZACPPSJKD-UHFFFAOYSA-N,CN(C)CCCN2c1ccccc1C=Cc3ccccc23,,1,CN(C)CCCN1c2ccccc2C=Cc2ccccc21
AFCGFAGUEYAMAO-UHFFFAOYSA-N,CC(=O)NCCC[S](O)(=O)=O,,0,CC(=O)NCCCS(=O)(=O)O
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C=CCCCCCCCC,0.95999999,1,C=CCCCCCCCC
AFZOCGNTFCGOEE-UHFFFAOYSA-N,CCC24CCN(CC1CC1)C(Cc3ccc(O)cc23)C4(C)C,,1,CCC12CCN(CC3CC3)C(Cc3ccc(O)cc31)C2(C)C
AGAHNABIDCTLHW-UHFFFAOYSA-N,Cc1ccc(cc1)C3(O)CCN(CCCC(=O)c2ccc(F)cc2)CC3,,1,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1
AGBTZJDOBMDLPR-UHFFFAOYSA-N,CN1CCC3=C(CC1)c2cc(C#N)ccc2Sc4ccccc34,,1,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12
AGOYDEPGAOXOCK-UHFFFAOYSA-N,CCC3OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C3(C)O)OC,,0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O
AGPJYMKPDQMPIB-UHFFFAOYSA-N,CN2C(=CC=1[S]C=CC=1[S]2(=O)=O)C(=O)NC=3C=CC=CN=3,,1,CN1C(C(=O)Nc2ccccn2)=Cc2sccc2S1(=O)=O
AHCPKWJUALHOPH-UHFFFAOYSA-N,Clc3cnn(CCCCN1CCN(CC1)c2ncccn2)c3,,1,Clc1cnn(CCCCN2CCN(c3ncccn3)CC2)c1
AHDBQMJRRXVRDY-UHFFFAOYSA-N,CC3(C)CN(CCN1CCN(C1=O)c2cccc(Cl)c2)C3,,1,CC1(C)CN(CCN2CCN(c3cccc(Cl)c3)C2=O)C1
AHEVKYYGXVEWNO-UHFFFAOYSA-N,CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(=O)NCNCCCCC(N)C(O)=O)C(=O)c3c(O)cccc3C4(C)O,,0,CN(C)C1C(O)=C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
AHKAOMZZTQULDS-UHFFFAOYSA-N,O=C(OC1CN2CCC1CC2)c3ccccc3,,1,O=C(OC1CN2CCC1CC2)c1ccccc1
AHOUBRCZNHFOSL-UHFFFAOYSA-N,FC(C=C1)=CC=C1[C@H]2C(COC3=CC=C(OCO4)C4=C3)CNCC2,0.52,1,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
AIFRHYZBTHREPW-UHFFFAOYSA-N,c1cncc(c1c23)[nH]c2cccc3,0.48,1,c1ccc2c(c1)[nH]c1cnccc12
AIJTTZAVMXIJGM-UHFFFAOYSA-N,CC1CN(CCN1)c2cc3N(C=C(C(O)=O)C(=O)c3c(C)c2F)C4CC4,,0,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,CC(=O)OCCN4CCN(CCCN2c1ccccc1Sc3ccc(Cl)cc23)CC4,,1,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
AIZFEOPQVZBNGH-UHFFFAOYSA-N,O=C2CN=C(c1ccccc1)c3c(N2)sc4CCCCc34,,1,O=C1CN=C(c2ccccc2)c2c(sc3c2CCCC3)N1
AJDSHXKJJDQZCJ-UHFFFAOYSA-N,CN(C)CCC(C1CCCCC1)c2ccccc2,,1,CN(C)CCC(c1ccccc1)C1CCCCC1
AJLFOPYRIVGYMJ-UHFFFAOYSA-N,CCC(C)C(=O)OC2CCC=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,,1,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
AJOQSQHYDOFIOX-UHFFFAOYSA-N,CCC(C(=O)NC(N)=O)c1ccccc1,,1,CCC(C(=O)NC(N)=O)c1ccccc1
AJQCDZXJUGAKIQ-UHFFFAOYSA-N,C1COCC1CCCNC(=O)C2=CC=CC=C2C#N,,0,N#Cc1ccccc1C(=O)NCCCC1CCOC1
AJXPJJZHWIXJCJ-UHFFFAOYSA-N,CN1C(=O)CC(C)(C1=O)c1ccccc1,,1,CN1C(=O)CC(C)(c2ccccc2)C1=O
