InchiKey,smiles,logD,new_logD
AAAQFGUYHFJNHI-UHFFFAOYSA-N,CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,[2.42 2.46],2.44
AAGISEXHOPCAHZ-UHFFFAOYSA-N,Cc1ccc(NC(=O)[C@H](COC(C)C)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,[2.9],2.8999999999999995
AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,[3.35],3.35
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,[2.69],2.6899999999999986
AAOYLOCWJSLLJU-UHFFFAOYSA-N,O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O,[3.85],3.85
AAQMXARWZZCRRO-UHFFFAOYSA-N,CC(C)c1ncc(NC(=O)OCc2ccccc2)c(=O)n1CC(=O)NC(C(=O)C(F)(F)F)C(C)C,[2.63],2.6300000000000003
AATCBLYHOUOCTO-UHFFFAOYSA-N,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,[3.05],3.05
ABCKFBCOWDNJJY-UHFFFAOYSA-N,CN(C(=O)[C@@H](CC(=O)O)CC1CCCC1)c1nc(-c2ccccc2Cl)cs1,[2.87],2.87
ABKGTFFKSJEJIQ-UHFFFAOYSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,[1.8 1.8],1.7999999999999996
ABNSJBVKFVKZEX-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccccc2F)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,[2.75],2.75
ABSBPDLMQGHOJQ-UHFFFAOYSA-N,O=C(O)CC(=O)N[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2sc(Cl)c(Cl)c2[nH]1,[1.18],1.1800000000000002
ABXVUGZVUCYNCO-UHFFFAOYSA-N,NC1(c2ccc(-c3nc4ccccn4c3-c3ccccc3)cc2)CCC1,[2.8],2.8000000000000007
ACAKBZZHDIANCL-UHFFFAOYSA-N,O=C(N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl,[-0.22],-0.22
ACALVKSHYQWUFA-UHFFFAOYSA-N,C=CC(=O)N(c1ccc(F)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,[2.01],2.01
ACCWNNFALZQFLO-UHFFFAOYSA-N,CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(C4CC4)c23)CC1,[0.9],0.8999999999999998
ACEBSGOKBVMIBO-UHFFFAOYSA-N,CC(C)(O)c1nn2ncccc2c1-c1ccnc(Nc2cccc(C#N)c2)n1,[2.8],2.8000000000000007
ACFQPMMWHGOWAP-UHFFFAOYSA-N,O=S(=O)(CCOCCCc1ccccc1)NCCNCCc1ccc(O)c2nc(O)sc12,[2.22],2.2199999999999998
ACHAGBFZZOHGJZ-UHFFFAOYSA-N,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1c[nH]c(=O)c(Cl)c1,[3.12],3.12
ACHSSEJVMHOEFV-UHFFFAOYSA-N,COc1cc(/C=C/C(=O)O)c(F)cc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC(C)(F)F,[2.6],2.599999999999999
ACIORWSBZIKYKH-UHFFFAOYSA-N,CNc1ncc(C(=O)c2ccccc2)s1,[2.36],2.3600000000000003
ACLQAQHAGYQMSL-UHFFFAOYSA-N,Cc1csc2ncnc(N[C@H]3CC[C@H](N(C)C)CC3)c12,[0.3],0.29999999999999993
ACLZPKMBZBHXJZ-UHFFFAOYSA-N,c1ccc(Nc2[nH]nnc2-c2ccccc2)cc1,[3.37],3.37
ACQBHJXEAYTHCY-UHFFFAOYSA-N,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,[2.68],2.68
ACQYAZLJSNPFDC-UHFFFAOYSA-N,COc1nc(N(CC(C)(C)F)c2cc(C(F)(F)F)ccc2F)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O,[1.2],1.1999999999999997
