InchiKey,original_smiles,logS,diff_percent,new_logS,smiles
AABQVBFXZKSBOW-UHFFFAOYSA-N,['CCOC(=O)c1c(C)ccc(c1OCC(=O)OCCN1CCCCC1)C(C)C'],[-5.31858279],0.0,-5.318582792,CCOC(=O)c1c(C)ccc(c1OCC(=O)OCCN1CCCCC1)C(C)C
AAEVYOVXGOFMJO-UHFFFAOYSA-N,['CSc1nc(NC(C)C)nc(n1)NC(C)C'],[-4.0999999],0.0,-4.0999999,CSc1nc(NC(C)C)nc(n1)NC(C)C
AAFJXZWCNVJTMK-UHFFFAOYSA-N,['OC(C(C1OC1)O)C1OC1'],[0.83374584],0.0,0.833745836,OC(C(C1OC1)O)C1OC1
AAMVKUKGQPPIMG-UHFFFAOYSA-N,['OC[C@@H](CN(c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)N([C@H](CO)O)C(=O)C)I)C(=O)C)O'],[-4.10077059],0.0,-4.100770587,OC[C@@H](CN(c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)N([C@H](CO)O)C(=O)C)I)C(=O)C)O
AANKDJLVHZQCFG-UHFFFAOYSA-N,['O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C[C@H](O)[C@]2([C@H]3C[C@H]3[C@@H]2[C@H](C)[C@@H]2N3C[C@H](CC2)C)C)C1)C'],[-7.69598383],0.0,-7.695983828,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C[C@H](O)[C@]2([C@H]3C[C@H]3[C@@H]2[C@H](C)[C@@H]2N3C[C@H](CC2)C)C)C1)C
AANLIOPOVSJZLY-UHFFFAOYSA-N,['[O-][N+](=O)c1nccn1CC(CCl)O'],[-1.21889731],0.0,-1.218897311,[O-][N+](=O)c1nccn1CC(CCl)O
AANUQVPVSJJCRI-UHFFFAOYSA-N,['Clc1cnc2c(n1)ncnc2'],[-0.87],0.0,-0.87,Clc1cnc2c(n1)ncnc2
AAOQURPCQWSPJM-UHFFFAOYSA-N,['CC(C(C(C)C)(COC(=O)N)COC(=O)N)C'],[-2.54949197],0.0,-2.549491968,CC(C(C(C)C)(COC(=O)N)COC(=O)N)C
AAOVKJBEBIDNHE-UHFFFAOYSA-N,['Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1'],[-3.75],0.0,-3.75,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1
AAPPQBJWIDZNGZ-UHFFFAOYSA-N,['O=C1C=CC=C/C/1=C\\Nc1ccccc1O'],[-2.0908144],0.0,-2.090814404,O=C1C=CC=C/C/1=C\Nc1ccccc1O
AAQFEENIXHFFDP-UHFFFAOYSA-N,['OCC(COc1ccccc1OC)(CO)CO'],[-1.3975297],0.0,-1.397529698,OCC(COc1ccccc1OC)(CO)CO
AAXVEMMRQDVLJB-UHFFFAOYSA-N,['OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2CCC2=CC(=O)CC[C@]12C)F'],[-3.4300001],0.0,-3.4300001,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2CCC2=CC(=O)CC[C@]12C)F
AAYHAFZXFMIUSN-UHFFFAOYSA-N,['NS(=O)(=O)C1CCCCC1'],[-1.41347273],0.0,-1.413472734,NS(=O)(=O)C1CCCCC1
ABFRBTDJEKZSRM-UHFFFAOYSA-N,['OC(C(Cl)(Cl)Cl)c1ccccc1'],[-2.76880184],0.0,-2.76880184,OC(C(Cl)(Cl)Cl)c1ccccc1
ABGIIXRNMHUKII-UHFFFAOYSA-N,['Clc1ccc(cc1)/C=C/C(=O)c1ccccc1'],[-4.64471067],0.0,-4.644710666,Clc1ccc(cc1)/C=C/C(=O)c1ccccc1
ABGJIKXMJUSARA-UHFFFAOYSA-N,['OCCn1c(CC)cnc1[N+](=O)[O-]'],[-1.3591161],0.0,-1.359116097,OCCn1c(CC)cnc1[N+](=O)[O-]
ABICJYZKIYUWEE-UHFFFAOYSA-N,['O=C1NC(=O)C(C(=O)N1)[N+](=O)[O-]'],[-2.28],0.0,-2.28,O=C1NC(=O)C(C(=O)N1)[N+](=O)[O-]
